Country name,Average Happiness Score
Chad,4.419833333333334
Paraguay,5.718666666666667
Yemen,3.5456000000000003
Senegal,4.9918571428571425
Sweden,7.357500000000001
Philippines,5.77075
Singapore,6.442571428571428
Turkey,5.0365
Malawi,3.555285714285714
Iraq,4.862142857142857
Germany,7.042375000000001
Afghanistan,2.319714285714286
Cambodia,4.660875
Ivory Coast,5.203625
Jordan,4.355875
Rwanda,3.338
France,6.669
Greece,5.729125
Kosovo,6.377000000000001
Sri Lanka,4.2865714285714285
Algeria,5.105571428571428
Togo,4.161857142857143
Slovakia,6.351375
Argentina,5.990875
Belgium,6.852875
Ecuador,5.7139999999999995
Lesotho,3.50125
Albania,5.112625
Madagascar,4.157333333333334
Finland,7.815375
Ghana,4.953125
Myanmar,4.372
Nicaragua,6.155428571428572
Benin,4.809500000000001
Peru,5.736571428571429
Sierra Leone,3.6641428571428567
China,5.4825
India,3.878
United States,6.924249999999999
Belarus,5.535499999999999
Kuwait,6.3142499999999995
Malta,6.521375000000001
Chile,6.235875
Tajikistan,5.452125
Croatia,5.8858749999999995
Bolivia,5.6979999999999995
Nigeria,4.95075
Gabon,4.918571428571428
Italy,6.4159999999999995
Lithuania,6.414874999999999
Norway,7.391125
Turkmenistan,5.0975
Spain,6.4407499999999995
Mauritania,4.4334999999999996
Congo (Kinshasa),3.604333333333333
Central African Republic,3.476
Denmark,7.6095
Niger,4.819166666666667
Bangladesh,4.693875000000001
Iran,4.78425
Russian Federation,5.551375
Ireland,7.023375000000001
Laos,5.047875
Thailand,5.944125
Morocco,4.968125
Panama,6.292428571428571
Ukraine,4.856
Venezuela,5.045875
Iceland,7.535714285714286
Israel,7.265
Taiwan Province of China,6.531000000000001
South Korea,5.899875
Cyprus,6.172125
Uruguay,6.453499999999999
Mexico,6.351125
Estonia,6.2437499999999995
Georgia,4.910375
Montenegro,5.61625
Zimbabwe,3.2241250000000004
Indonesia,5.316428571428571
Guatemala,6.347666666666666
Mongolia,5.668374999999999
Azerbaijan,5.111400000000001
Libya,5.5494
Armenia,5.188142857142857
Liberia,4.436
Tunisia,4.49275
Honduras,5.970000000000001
Trinidad and Tobago,6.192
Congo (Brazzaville),5.236166666666667
Saudi Arabia,6.480625
Uganda,4.494375
Namibia,4.582249999999999
Switzerland,7.446000000000001
Zambia,3.9294999999999995
Ethiopia,4.209499999999999
Jamaica,5.983833333333333
Latvia,6.092125
South Sudan,2.817
United Arab Emirates,6.656624999999999
Guinea,4.980571428571428
Canada,7.089124999999999
Kyrgyzstan,5.746625
North Macedonia,5.183249999999999
Uzbekistan,6.175857142857143
Czech Republic,6.9215
Mozambique,4.839714285714286
Brazil,6.263125
Gambia,4.669833333333333
Kenya,4.550624999999999
Lebanon,3.854714285714286
Palestinian Territories,4.5455
Slovenia,6.503375
Dominican Republic,5.610500000000001
Botswana,3.4536666666666664
Japan,5.987375
Tanzania,3.6272499999999996
Luxembourg,7.230333333333333
New Zealand,7.2235
Bosnia and Herzegovina,5.7
Haiti,3.6846666666666668
Poland,6.2105
Portugal,5.929625
Australia,7.16275
Cameroon,5.0675
Romania,6.295428571428571
Bulgaria,5.3085
Austria,7.191375
Nepal,5.18
Costa Rica,6.939857142857143
Egypt,4.1815
El Salvador,6.158625
Hong Kong S.A.R. of China,5.406000000000001
Kazakhstan,6.131
Serbia,6.019
Burkina Faso,4.715000000000001
South Africa,5.028375
Bahrain,6.417714285714284
Colombia,5.914750000000001
Hungary,6.0218750000000005
Pakistan,4.9154285714285715
Mauritius,6.018750000000001
Moldova,5.735125000000001
United Kingdom,6.9803749999999996
Vietnam,5.519999999999999
Mali,4.539714285714285
Netherlands,7.4315
North Cyprus,5.536999999999999
Malaysia,5.641500000000001
Comoros,3.9964
Maldives,5.198
Burundi,3.775
Swaziland,4.3053333333333335
Rwanda*,3.268
Mauritania*,4.153
Botswana*,3.471
Turkmenistan*,5.474
Gambia*,5.164
Czechia,6.862333333333333
Palestinian Territories*,4.483
Yemen*,4.197
Congo,5.075
Liberia*,5.122
Libya*,5.33
Comoros*,4.609
Guatemala*,6.262
xx,null
"Eswatini, Kingdom of*",4.396
Belarus*,5.821
Lesotho*,3.512
Azerbaijan*,5.173
Chad*,4.251
North Cyprus*,5.467
Madagascar*,4.339
Niger*,5.003
Kuwait*,6.106
Luxembourg*,7.404
State of Palestine,4.8934999999999995
Turkiye,4.794499999999999
Eswatini,3.502
