Country name,Ladder score,Year
Finland,7.672,2006
Country name,Ladder score,Year
Finland,7.671,2008
Country name,Ladder score,Year
Finland,7.393,2010
Country name,Ladder score,Year
Finland,7.354,2011
Country name,Ladder score,Year
Finland,7.42,2012
Country name,Ladder score,Year
Finland,7.445,2013
Country name,Ladder score,Year
Finland,7.385,2014
Country name,Ladder score,Year
Finland,7.448,2015
Country name,Ladder score,Year
Finland,7.66,2016
Country name,Ladder score,Year
Finland,7.788,2017
Country name,Ladder score,Year
Finland,7.858,2018
Country name,Ladder score,Year
Finland,7.78,2019
Country name,Ladder score,Year
Finland,7.808700085,2020
Country name,Ladder score,Year
Finland,7.842,2021
Country name,Ladder score,Year
Finland,7.804,2023
